username,date,rating,content
Waliyjah,2025-06-16T00:21:58,1,minta kode minnnnn
Roni Yoya,2025-06-16T00:03:57,1,jelek ma buruk sekali sekarang mah...ngelag melulu...lola..
Azriel 22,2025-06-16T00:02:04,1,lah gw pake nomor baru kenapa keterangan nya ( kode dikirim ke hp lain) bapak kau lah!!!! ribet banget mau pake nih apl
Siti Allisa,2025-06-15T23:59:21,5,syukaaaaa
Badax Bhaduy,2025-06-15T23:52:40,1,payah tidak bisa di gunakan.. pihak aplikasi seharus nya ada tindakan untuk menghapus saja aplikasi ini
Riskisukafreya,2025-06-15T23:47:17,1,ga dapet kodee udah nyoba berkali'😕
Elza Maura Saskya,2025-06-15T23:39:37,1,"kode gak masuk ke sms mulu, udah di coba beberapa kali, tetep gak dapet kode gimana sih"
rohit gathfaani,2025-06-15T23:25:05,1,i did noy receive any SMS verification code
Marsha melinda,2025-06-15T23:10:00,1,susah login
Naura Eka fitri,2025-06-15T22:42:04,1,"INI SANGAT BURUK,,sya coba login memakai no wa tapi waktu saya menunggu sms untuk kode verifikasi sudah lama nunggu tidak ada samsek"
adell yaa,2025-06-15T22:24:39,1,saya tidak mendapatkan kode otp untuk login
Riza ardan,2025-06-15T22:19:03,1,Kode OTP nya ngebug
Tri Triadiachmad,2025-06-15T22:16:56,5,Sangat bermanfaat untuk berkomunikasih dengan efisiensi
mieayam best,2025-06-15T22:11:55,5,ke apa nomer ku kebokir
Lintang Satria,2025-06-15T22:08:47,1,ga jelas ga dapet kode otp nya
Sriyuli Anggraeni,2025-06-15T22:08:14,1,"""saya tidak menerima kode verifikasi SMS apa pun"""
geeza_,2025-06-15T22:05:49,1,tidak mendapatkan kode otp
suka kaiser,2025-06-15T21:58:07,5,apk horor tapi cinta
Abdul Kholik,2025-06-15T21:41:20,5,ribet sekarang mah
Edgar Dewanta,2025-06-15T21:39:03,1,"KENAL PREMIUM LANGSUNG PREMIUM SEMUA, GABOLEH BIKIN FOTO DIKIT DIKIT PREMIUM PREMIUM APALAHH"
Atikah,2025-06-15T21:28:13,5,good
Bahdi Siagian,2025-06-15T21:17:06,1,tidak bisa berbagi layar
Reyhan Rizky ramadhani,2025-06-15T21:07:19,1,"aplikasi gajelas,saya sangat kesal saat mendaftarnya.gimna sih yang bener dong kalo membuat aplikasi,kode kaga nyampe nyampe lagi paan bgt.perbaiki noh"
Nabila Bila,2025-06-15T20:49:16,1,buat login ga bisa
Hashifatu Syakirah,2025-06-15T20:44:48,1,"apaansi telee gajelas, kode otp ngga masuk masuk ke email 💔 , padahal di telegram banyak berkas penting buat sekolah, sakit banget, ga sengaja keapus, pas mau login kodenya malah ga masuk masuk,kecewa bgt 😭😭😭"
Nadia Salsabila Putri Hasiru,2025-06-15T20:39:51,1,telegram sekarang jadi apk gajelas susah banget nerima kode dari SMS
Najwa Asyifa,2025-06-15T20:39:44,2,ini gimana sih owner tele nya masa mau login ga bisaa nunggu kode SMS muncul tapi ga muncul² pdhl kuota masih banyak dan nomor telepon pun sudah benar.. TOLONG YA DIPERBAIKI DENGAN BAIK!
Reviana Azzahra,2025-06-15T20:35:01,2,"kalau bisa kirim kode Verifikasi nya udh sekalo aja lewat email atau lewat whatsapp kaya apak2 lain, yang gampang2 aja, ga pake pulsa malah no ku udh hangus #saran"
Tiara Aprianty,2025-06-15T20:34:42,1,kenapa nih aplikasi kayak gini sih sekarang padahal dulu bisa bisa aja kalo Mau nonton film Tanpa download pun tetep bisa nonton skrng kenapa Jadi gak bisa sih setiap filmnya Mau ditonton loading Nya lama Mau download Juga gak bisa teros ini gmn Gua Mau nonton film nya kalo aplikasi tele sekarang Jadi kek Gini Coba tolong diperbaiki dulu gua mau unistal dulu ok nanti kalo udah bener kayak dulu ntar gua download lagi dan gua Kasih Bintang 5 nanti kabarin aja yak ok kalo aplikasi Nya udah bener
Encep Rachmat,2025-06-15T20:30:50,1,tidak bisa masuk
Aqshal Restu,2025-06-15T20:16:04,1,saya tidak mendapatkan kode otp
Ibnoe Irsyad,2025-06-15T20:08:28,1,"harusnya telegram ada solusi, memang kesalahan bukan dari telegram saja tapi karena ini dan nomor2 lain di seluruh Indonesia adalah no daur ulang,,yakni no yg pernah di aktifkan dan di gunakan oleh orang lain tapi sudah terblokir dan kadaluwarsa namun di aktifkan kembali oleh profider,,sedangkan terhapusnya telegram scra otomatis dr pihak pengguna sebelumnya bisa variasi..ada yg 1 bulan bahkan sampai 2 tahun,,,selama telergam lama belum terhapus secara otomatis,,jangan harap bisa ."
Adam Sakha,2025-06-15T20:05:16,1,saya tidak menerima kode verivikasi sms
balqis muthiah,2025-06-15T19:56:54,5,"Bagus banget aplikasinya, sangaaat suka, very recommended buat di download dan digunakan sehari-hari 😇"
Winy Hanapi,2025-06-15T19:54:15,1,saya nggak nerima kode
mustarom 007,2025-06-15T19:42:19,1,"jelek ah, gak bisa log in"
CHANDRA GUVTA ASEGAF,2025-06-15T19:26:38,1,susah banget dapet pesan nya buat registrasi
clara florynca,2025-06-15T19:26:10,1,"kode ga muncul"" bangke gmnna mau login coba"
