username,date,rating,content
Ngilman Lana Anis Mukaffa,2025-06-16T01:06:05,3,"saya tidak bisa login akun IG, padahal username sudah saya ganti, dan sudah memasukkan username serta kata sandi dengan benar, ko masi tetap tidak bisa masuk, tolong perbaiki lagii yaaa"
Blagedog Jylo,2025-06-16T01:01:19,5,bagus
Burhan yazid B,2025-06-16T01:00:25,1,"aku udah tahun tahunan hilang gak cuma akun saya aku teman"" sya juga bnyak yang hilang"
Islina Amelia,2025-06-16T01:00:00,5,"suka banget sama fitur"" ig sekarang apalagi yang baru catatan ig bisa di tautkan di spotify, dan selama makai gaada kendala"" apapun..."
NIKO NIKSRAL,2025-06-16T00:56:27,1,sedih bgt.. ig gak bisa masuk pdahal udah dimasukin nomor baru dan email baru tp tetep minta email lama dan nomor lama.. kecewa bgt..
nayyda niezrach,2025-06-16T00:51:21,3,"kadang kalo mau tag orang atau mau masukin sorotan lewat igs yg belum 24jam suka kepencet arsip, pas diliat di arsip gaada, pencet igsnya lewat notif malah keluar sendiri dari ig."
Iskandar Kandar,2025-06-16T00:46:23,5,karena saya bisa dapat temen² yg banyak terus saya seneng dapat cowo diinstagram pokoknya bagus banget lah l love yuu instargam
Urip Subianto,2025-06-16T00:39:44,5,bagus
Salman Alhadi,2025-06-16T00:34:09,5,ok
Ros Kumar,2025-06-16T00:32:15,5,roshankumar 🥀🥰
Siti Khasanah,2025-06-16T00:31:31,5,menyelenggarakan
Farhan Rahmanu putra,2025-06-16T00:27:39,2,tll anj gw masukin akun gw ga bisa katanya sandi salah padahal baru gw ganti
DINN KECEE,2025-06-16T00:27:15,5,boleh
Agus Vino,2025-06-16T00:27:05,5,keren
Gopur Ciro,2025-06-16T00:26:43,5,bagus
Zaky Aditya,2025-06-16T00:26:05,5,Mantap
SIFFA FATIMAH,2025-06-16T00:20:38,5,mantab
Aas Basri,2025-06-16T00:20:21,5,nyaman aja pokoknya
Abdullah Hilal,2025-06-16T00:17:33,5,alhamdulillah
edo wanda praswara,2025-06-16T00:12:32,1,kemarin beli verifikasi belum dapat verifikasi belum dibalikan uangnya malah harus beli lagi kapitalis
Vinex Game,2025-06-16T00:11:14,1,"Makin kesini makin ribet.. bikin akun privasi baru buat scroll2 pribadi, follow2 yang disukai, justru pengguna malah di curigai sebagai robot, scamer, mo melakukan kejahatan siber, dllsb. Tersinggung si gua bjir.. 😏 ga pengen di follow siapa2 emang salah yak ? 😏"
Nuel Junioro,2025-06-16T00:09:13,5,senyum baik
beta surya,2025-06-16T00:09:03,5,bagus
South Custom,2025-06-16T00:06:36,5,mantap
M. Husni,2025-06-16T00:06:03,1,Bikin akun ke band Mulu Instagram aneh
Amri Alamsyah,2025-06-16T00:02:47,5,sgt memuaskan aplikasi nya
Redo Elgianto,2025-06-15T23:52:37,5,keren
Mandra Water,2025-06-15T23:49:21,5,ok
FIQRI KJ,2025-06-15T23:49:06,5,sangat bagus
Berantas Kasus Indonesia86,2025-06-15T23:47:30,5,Opsional
Arjuna Wahyu Wisnu Ardhi,2025-06-15T23:46:06,5,ij
Jefri Jefri,2025-06-15T23:44:10,5,the best
Wisnuu Kibas,2025-06-15T23:41:50,5,pengalaman sya sangat menyenangkan bagi saya
Yanti Yantiaby,2025-06-15T23:32:38,5,baguss bnget
Elvin Li,2025-06-15T23:31:37,5,mntap
Fajar Sweerja,2025-06-15T23:29:52,1,kenapa instagram menonaktifkan akun saya secara permanen? padahal gapernah ngelanggar kebijakan apapun? masuk pakai akun lain pun ngga bisa
Rismono Arifin,2025-06-15T23:23:32,1,aku ngga ngapa²in ujug² kena band ig gw
M FAIZ,2025-06-15T23:17:32,4,terimakasih dari semua jasa nya
Ramona feliz Madhika kusuma,2025-06-15T23:16:18,5,keren bagus
Wulandari Mety,2025-06-15T23:16:04,5,bagus
Marni Anjelita putri,2025-06-15T23:15:10,1,kenapa ya di aku kok susah banget memposting atau ngirim pesan dan story? kalau mau post pasti selalu muncul tulisan tidak dapat menyimpan gambar.
FA Ta,2025-06-15T23:10:15,5,mantap mengesankan
Riski Riskizeky,2025-06-15T23:06:17,5,sangat senang
Pramudya Dewantoro,2025-06-15T23:03:53,1,"kenapa akun saya dibatasi, dan saat saya buka pusat bantuan malah kode yang dikirimkan salah terus padahal bener, apa ini nggak ada tindakan sama sekali"
Biah Alkatiri,2025-06-15T23:02:42,2,banyak fitur yang hilang seperti GIF dan emoticon saya tidak tahu bagaimana memperbaikinya
Purwanto Anto,2025-06-15T22:58:31,5,seru aja sih 👍🔥🔥
Mafafa Solihah,2025-06-15T22:56:39,3,Bs nambah tmn
Fandi Eko,2025-06-15T22:55:39,5,bgus
Neni Nur,2025-06-15T22:54:11,3,baru memulai
Yeni Sjagat,2025-06-15T22:53:16,5,untuk sampai saat inih sih sayah nyaman dengan fitur fiturnyah ..ok👍
Ilham Ilham,2025-06-15T22:52:52,5,tmbahin fitur privat following min
Ifunk Project,2025-06-15T22:52:18,5,mantap
Satria Freccs,2025-06-15T22:48:59,5,saya suka sekali aplikasi ini semoga saya bisa jadi pemain futsal terkenal dan dikenal melalui aplikasi ini
novita•rgg09,2025-06-15T22:41:36,5,"seruu,tp tida dngn efek ig yg menor,lbih baik di perbaikin,dn lebih cnti"
Mr Minato,2025-06-15T22:36:55,1,di pakek Jawa jadi susah
Elvano Sendra,2025-06-15T22:35:08,1,"ya kali follower naik 40 sehari lgsg diban, gw susah susah kabarin temen gw, parah lu ig"
gateng ozy83,2025-06-15T22:33:44,1,saya benci Instragram karna gabisa ganti wallpaper chatnya jadi foto saya sama doi
Amaliyatun Nisa',2025-06-15T22:23:03,4,🫰🏻🫶🏻
Saepudin Asgar,2025-06-15T22:20:16,5,Mantap
